Episodes,Returns,Lengths
54.5,140.95552933671422,174.55
54.75,169.2096812374704,186.45
55.0,191.3840141428418,198.25
55.25,198.76852866179365,201.25
55.5,220.87307361285238,213.0
55.75,210.0046751825915,224.85
56.0,213.08253931173826,226.05
56.25,234.09655425804576,237.4
56.5,243.62451177414536,243.65
56.75,251.89452091771855,248.9
57.0,245.54891992667723,246.8
57.25,238.6768231543506,241.9
57.5,236.74061625247003,241.15
57.75,213.57830922972727,229.4
58.0,189.81699554790148,217.65
58.25,156.6319695858088,217.65
58.5,140.44227331002483,207.1
58.75,127.85698774019959,198.75
59.0,114.91534924559153,190.35
59.25,95.67626017406138,181.0
59.5,75.47746422694979,171.1
59.75,49.861137109419666,161.0
60.0,48.278151404111256,161.0
60.25,61.254069587025846,169.8
60.5,40.846873501044186,159.0
60.75,52.371553161009714,147.7
61.0,49.80318071608419,146.95
61.25,47.49476087308111,146.95
61.5,38.41193505746286,141.1
61.75,29.982004658847053,135.75
62.0,15.871272200816843,126.45
62.25,14.858896983741015,126.45
62.5,14.544703681829967,126.35
62.75,14.67564208040026,126.65
63.0,27.920844345503685,136.15
63.25,39.6275128393349,124.85
63.5,53.289225117441596,134.65
63.75,62.76049662160447,141.8
64.0,59.04282528671314,139.35
64.25,68.87267904656149,146.75
64.5,71.47497590551777,149.0
64.75,69.85737814854517,147.75
65.0,50.146325429575626,136.45
65.25,29.827917145232334,124.6
65.5,29.02029736202338,124.15
65.75,28.36401613231875,123.6
66.0,39.93222447908955,131.7
66.25,23.33767513612232,121.45
66.5,35.10723967296692,129.7
66.75,37.51349655798761,131.0
67.0,39.84992657848002,132.25
67.25,53.40002177310343,141.75
67.5,55.93325486484254,143.6
67.75,58.457781573548026,145.0
68.0,47.86804441572038,137.2
68.25,60.508376056773535,146.2
68.5,54.71180373788492,142.1
68.75,43.703095919885946,134.0
69.0,45.33249349284581,135.25
69.25,42.254864339712285,133.1
69.5,36.53112071631502,128.95
69.75,38.734365763245464,130.25
70.0,40.865754108861985,131.5
70.25,45.18105327181936,134.65
70.5,44.330919480476794,134.1
70.75,44.39827830779187,134.15
71.0,37.54482257427106,129.35
71.25,39.86679276715295,131.35
71.5,30.621754939013833,124.5
71.75,31.590180813396195,125.6
72.0,32.84933241249573,126.9
72.25,18.87559367345318,117.0
72.5,20.428944573040226,118.15
72.75,21.697609777006058,119.45
73.0,19.045735351900948,117.75
73.25,8.676324889070575,110.2
73.5,3.824572328146979,106.45
73.75,5.648702299482641,108.1
74.0,6.580472064471929,108.4
74.25,-4.002481025498626,100.75
74.5,0.09233411488112982,103.2
74.75,5.247331246811533,107.2
75.0,2.5954568217064273,105.5
75.25,2.4423316264438744,104.85
75.5,10.574764493501798,110.65
75.75,14.750143484405385,113.15
76.0,13.834585169159269,112.0
76.25,13.13195640859288,111.0
76.5,15.756924936202353,113.25
76.75,16.193865589513134,113.0
77.0,15.935322124710808,112.4
77.25,20.268233302108776,115.25
77.5,19.421287151505503,114.6
77.75,19.011004064876673,113.9
78.0,22.225189035757165,116.1
78.25,22.868302259157854,116.45
78.5,22.868302259157854,116.45
78.75,21.402094578840916,115.05
79.0,20.12542992935601,114.55
79.25,21.85856199599493,116.0
79.5,18.87894254499681,114.5
79.75,13.870389299772535,110.6
80.0,13.870389299772532,110.6
80.25,12.898044443889248,110.05
80.5,8.375717092929802,106.6
80.75,7.810443618124696,106.45
81.0,3.819541619981288,103.95
81.25,-0.17136037816211952,101.45
81.5,-2.2950669707894704,99.55
81.75,-5.968351628222445,97.15
82.0,-5.563149763408861,97.3
82.25,-5.457010298338466,97.15
82.5,-7.33897869586576,95.15
82.75,-7.355612867244568,95.55
83.0,-4.393264184585012,97.3
83.25,-2.3481469496456855,99.1
83.5,2.012874579459564,101.95
83.75,0.7784498118409362,100.65
84.0,6.359619994153143,104.55
84.25,6.4018598760194205,103.75
84.5,23.96845192717688,114.6
84.75,29.51001733590125,118.3
85.0,31.28538928440645,118.95
85.25,36.75322787721224,122.6
85.5,41.733431238416,125.8
85.75,46.71363459961979,129.0
86.0,48.48900654812498,129.65
86.25,56.00365173310555,134.55
86.5,56.47444460682973,135.25
86.75,59.85664356223607,137.95
87.0,59.3584316154166,138.1
87.25,56.625626381105825,136.0
87.5,58.57757841728743,138.05
87.75,57.43226841716377,137.25
88.0,52.711555015014675,133.85
88.25,54.18886968381837,134.3
88.5,48.20452722646117,130.0
88.75,52.62335414268438,133.3
89.0,46.626096925699784,129.15
89.25,58.39589895195502,137.6
89.5,40.83186232639236,126.75
89.75,45.69427049976282,130.1
90.0,45.11734707756609,130.55
90.25,37.82159971012357,126.05
90.5,30.52585234268106,121.55
90.75,23.23010497523855,117.05
91.0,22.576534397550407,117.45
91.25,19.673412372921305,115.5
91.5,17.24097957676364,113.85
91.75,14.964151313937773,112.3
92.0,16.435002806671612,112.85
92.25,26.554255918775375,120.1
92.5,35.13749178697464,125.6
92.75,33.88757452849612,124.75
93.0,34.24027152518011,125.7
93.25,28.605479093653337,121.65
93.5,31.630361791468374,123.95
93.75,26.676783768659003,121.15
94.0,26.74724669716831,120.45
94.25,14.806230772671304,112.75
94.5,18.89967023288105,115.05
94.75,10.658143757394507,109.4
95.0,12.378961678102186,110.55
95.25,16.652495625164967,113.0
95.5,20.926029572227755,115.45
95.75,21.337713470525614,115.0
96.0,22.7737981422242,116.0
96.25,32.276610512277315,122.55
96.5,44.42551511513298,130.4
96.75,46.34716118399389,131.7
97.0,46.23070355028629,131.6
97.25,45.97280323749735,131.4
97.5,38.38900323718538,126.1
97.75,41.13375244021053,127.45
98.0,42.830735761360096,128.25
98.25,43.70326722028007,129.55
98.5,39.83984279976197,126.9
98.75,39.249567584280086,126.5
99.0,38.409993688973046,126.15
99.25,41.675532847885236,128.0
99.5,37.43497680612862,125.6
