Episodes,Returns,Lengths
72.25,3.04616975,600.0
72.5,3.04727435,600.0
72.75,3.0589534499999997,600.0
73.0,3.05994565,600.0
73.25,3.07193665,600.0
73.5,3.0860847,600.0
73.75,3.07931605,600.0
74.0,3.0954908,600.0
74.25,3.10113065,600.0
74.5,3.1034190500000003,600.0
74.75,3.1055904500000002,600.0
75.0,3.0969542499999996,600.0
75.25,3.0887586999999996,600.0
75.5,3.08199545,600.0
75.75,3.0968421499999996,600.0
76.0,3.10097465,600.0
76.25,3.1047723999999994,600.0
76.5,3.11866415,600.0
76.75,3.1107061999999996,600.0
77.0,3.1239882,600.0
77.25,3.13689925,600.0
77.5,3.1389232999999996,600.0
77.75,3.1407448,600.0
78.0,3.1319377,600.0
78.25,3.1231274000000004,600.0
78.5,3.1118755,600.0
78.75,3.1218719999999998,600.0
79.0,3.119732,600.0
79.25,3.1175334000000006,600.0
79.5,3.1184353000000002,600.0
79.75,3.1192538499999998,600.0
80.0,3.13088065,600.0
80.25,3.1421702,600.0
80.5,3.1515124500000002,600.0
